activity_id,lat,lon,altitude,velocity,distance,heartrate
19334880487,48.743935,2.294702,53.7,3.729,601.3,
19334880487,48.743962,2.294682,53.6,3.42,604.6,
19334880487,48.743989,2.294661,53.6,3.36,608.1,
19334880487,48.744017,2.29464,53.5,3.34,611.5,
19334880487,48.744042,2.294622,53.5,3.3,614.6,
19334880487,48.744066,2.294606,53.4,3.243,617.5,
19334880487,48.744089,2.294591,53.4,3.14,620.3,
19334880487,48.744113,2.294576,53.4,3.008,623.1,
19334880487,48.74414,2.294557,53.3,2.98,626.4,
19334880487,48.744164,2.294538,53.3,2.98,629.5,
19334880487,48.744189,2.294516,53.3,3.037,632.7,
19334880487,48.744216,2.294497,53.2,3.14,636.0,
19334880487,48.74424,2.294478,53.2,3.172,639.0,
19334880487,48.744264,2.294461,53.2,3.12,642.0,
19334880487,48.744289,2.294443,53.2,3.1,645.0,
19334880487,48.744314,2.294424,53.1,3.08,648.1,
19334880487,48.74434,2.294404,53.1,3.08,651.4,
19334880487,48.744366,2.294383,53.0,3.14,654.7,
19334880487,48.744393,2.294363,53.0,3.2,658.0,
19334880487,48.744416,2.294347,53.0,3.163,660.8,
19334880487,48.744439,2.294332,53.0,3.1,663.6,
19334880487,48.744462,2.294321,52.9,2.975,666.3,
19334880487,48.744484,2.294308,52.9,2.84,668.9,
19334880487,48.744508,2.294289,52.9,2.782,671.9,
19334880487,48.744532,2.294265,52.9,2.857,675.1,
19334880487,48.744552,2.294248,52.9,2.813,677.7,
19334880487,48.744584,2.29422,52.9,3.105,681.8,
19334880487,48.744608,2.294204,52.8,3.154,684.7,
19334880487,48.744633,2.294186,52.8,3.158,687.7,
19334880487,48.744655,2.29417,52.8,3.07,690.4,
19334880487,48.74468,2.294151,52.8,3.187,693.6,
19334880487,48.744703,2.294127,52.8,2.98,696.7,
19334880487,48.744711,2.294096,52.8,2.883,699.1,
19334880487,48.744724,2.294062,52.8,2.84,701.9,
19334880487,48.744727,2.294024,52.8,2.859,704.7,
19334880487,48.744728,2.293991,52.8,2.72,707.2,
19334880487,48.744728,2.293954,52.8,2.65,709.9,
19334880487,48.744727,2.293917,52.8,2.723,712.7,
19334880487,48.744723,2.29388,52.8,2.703,715.4,
19334880487,48.744719,2.293835,52.8,2.791,718.7,
19334880487,48.744725,2.293799,52.9,2.844,721.4,
19334880487,48.744731,2.293765,52.9,2.81,724.0,
19334880487,48.744733,2.29373,52.9,2.773,726.6,
19334880487,48.744736,2.293697,52.9,2.717,729.0,
19334880487,48.744743,2.293665,52.9,2.556,731.5,
19334880487,48.744748,2.293633,52.9,2.496,733.9,
19334880487,48.744757,2.293595,52.9,2.566,736.8,
19334880487,48.744757,2.293554,52.9,2.647,739.8,
19334880487,48.744749,2.293512,52.9,2.8,743.0,
19334880487,48.744733,2.293469,52.9,3.024,746.6,
19334880487,48.74472,2.293429,52.9,3.18,749.8,
19334880487,48.744712,2.293392,53.0,3.168,752.7,
19334880487,48.7447,2.293352,53.0,3.22,755.9,
19334880487,48.74469,2.293312,53.0,3.2,759.0,
19334880487,48.744683,2.293269,53.0,3.14,762.3,
19334880487,48.744677,2.293233,53.0,3.044,765.0,
19334880487,48.744671,2.293199,53.0,2.987,767.6,
19334880487,48.744664,2.293169,53.0,2.81,769.9,
19334880487,48.744658,2.293137,53.0,2.68,772.4,
19334880487,48.744652,2.293103,53.0,2.528,774.9,
19334880487,48.744647,2.293067,53.0,2.516,777.6,
19334880487,48.744638,2.293028,53.0,2.614,780.7,
19334880487,48.74463,2.292989,53.0,2.75,783.7,
19334880487,48.744622,2.292948,53.0,2.88,786.8,
19334880487,48.744616,2.292911,53.1,2.926,789.6,
19334880487,48.744612,2.292874,53.1,2.94,792.3,
19334880487,48.744617,2.292837,53.1,2.879,795.1,
19334880487,48.744632,2.292804,53.2,2.86,798.0,
19334880487,48.744653,2.292771,53.2,2.9,801.3,
19334880487,48.744665,2.292754,53.2,2.345,801.3,
19334880487,48.74468,2.292736,53.2,2.6,805.3,
19334880487,48.7447,2.292717,53.1,2.561,807.9,
19334880487,48.74472,2.292699,53.0,2.48,810.4,
19334880487,48.744735,2.292671,53.0,2.337,813.0,
19334880487,48.744745,2.292604,53.0,3.32,817.9,
19334880487,48.744756,2.292555,52.9,3.3,821.8,
19334880487,48.744773,2.292525,52.8,2.786,821.8,
19334880487,48.744801,2.29247,52.7,3.343,829.7,
19334880487,48.744824,2.292441,52.7,3.02,833.0,
19334880487,48.74485,2.292423,52.6,2.88,836.2,
19334880487,48.744885,2.292407,52.6,3.7,840.3,
19334880487,48.744916,2.292386,52.6,3.717,844.1,
19334880487,48.744938,2.292367,52.6,3.443,846.9,
19334880487,48.744959,2.292349,52.5,3.32,849.6,
19334880487,48.744982,2.292328,52.5,3.267,852.5,
19334880487,48.745004,2.292309,52.5,3.0,855.3,
19334880487,48.745028,2.292289,52.5,2.86,858.4,
19334880487,48.745057,2.292259,52.5,3.077,862.3,
19334880487,48.745086,2.292229,52.5,3.34,866.3,
19334880487,48.745113,2.292204,52.4,3.453,869.8,
19334880487,48.745138,2.292181,52.4,3.54,873.0,
19334880487,48.745162,2.292159,52.4,3.54,876.1,
19334880487,48.745184,2.292137,52.4,3.353,879.1,
19334880487,48.745205,2.292116,52.4,3.12,881.9,
19334880487,48.745227,2.292096,52.4,2.985,884.7,
19334880487,48.745248,2.292075,52.4,2.9,887.5,
19334880487,48.74527,2.292056,52.4,2.843,890.3,
19334880487,48.74529,2.292038,52.4,2.767,892.9,
19334880487,48.745309,2.292019,52.4,2.705,895.4,
19334880487,48.745329,2.292001,52.4,2.655,898.0,
19334880487,48.745351,2.291982,52.3,2.661,900.8,
19334880487,48.745375,2.291963,52.3,2.697,903.8,
19334880487,48.745401,2.291944,52.3,2.84,907.1,
19334880487,48.745429,2.291926,52.3,2.995,910.4,
19334880487,48.745457,2.291905,52.3,3.18,913.9,
19334880487,48.745489,2.291884,52.4,3.399,917.8,
19334880487,48.745527,2.29186,52.4,3.7,922.3,
19334880487,48.745558,2.291846,52.4,3.76,925.9,
19334880487,48.745593,2.291826,52.4,3.94,930.1,
19334880487,48.745624,2.291806,52.4,4.0,933.9,
19334880487,48.745648,2.291789,52.4,3.796,936.8,
19334880487,48.745669,2.291774,52.5,3.4,939.3,
19334880487,48.745687,2.291761,52.5,3.13,941.6,
19334880487,48.745705,2.291748,52.5,2.74,943.8,
19334880487,48.745716,2.291727,52.5,2.375,945.8,
19334880487,48.745728,2.291698,52.5,2.304,948.3,
19334880487,48.745747,2.291682,52.5,2.277,950.7,
19334880487,48.745767,2.291672,52.5,2.29,953.0,
19334880487,48.745783,2.291651,52.6,2.303,955.3,
19334880487,48.745803,2.291632,52.6,2.425,957.9,
19334880487,48.745827,2.291611,52.6,2.54,961.0,
19334880487,48.745859,2.291593,52.6,2.823,964.8,
19334880487,48.745887,2.291564,52.7,3.14,968.7,
19334880487,48.745922,2.291544,52.8,3.497,972.8,
19334880487,48.74593,2.291521,52.8,3.35,974.7,
19334880487,48.745931,2.291488,52.9,3.2,977.0,
19334880487,48.74593,2.291457,53.0,2.898,979.3,
19334880487,48.745929,2.291419,53.0,2.68,982.1,
19334880487,48.745925,2.291382,53.0,2.4,984.8,
19334880487,48.745923,2.291346,53.0,2.55,987.4,
19334880487,48.745922,2.291317,53.0,2.502,989.5,
19334880487,48.745921,2.291269,53.0,2.742,993.0,
19334880487,48.745919,2.291232,53.0,2.726,995.7,
19334880487,48.745915,2.291199,53.0,2.68,998.2,
19334880487,48.74591,2.291163,53.0,2.7,1000.9,
19334880487,48.745905,2.291127,53.0,2.818,1003.6,
19334880487,48.745901,2.291089,53.0,2.688,1006.4,
19334880487,48.745896,2.291051,53.0,2.714,1009.3,
19334880487,48.745894,2.291016,53.0,2.739,1011.9,
19334880487,48.745891,2.290981,53.0,2.72,1014.5,
19334880487,48.745887,2.290944,53.0,2.733,1017.3,
19334880487,48.745883,2.290906,53.0,2.732,1020.1,
19334880487,48.745878,2.290866,53.0,2.754,1023.1,
19334880487,48.745874,2.290829,53.0,2.781,1025.8,
19334880487,48.74587,2.290793,53.0,2.786,1028.4,
19334880487,48.745871,2.290756,53.0,2.767,1031.1,
19334880487,48.745867,2.29072,53.0,2.739,1033.8,
19334880487,48.745864,2.290685,53.1,2.666,1036.4,
19334880487,48.74586,2.290652,53.1,2.605,1038.8,
19334880487,48.745854,2.290619,53.1,2.574,1041.3,
19334880487,48.745848,2.29058,53.1,2.632,1044.3,
19334880487,48.745839,2.290544,53.1,2.661,1047.1,
19334880487,48.745837,2.290518,53.1,2.52,1049.0,
19334880487,48.745836,2.290485,53.1,2.515,1051.4,
19334880487,48.745832,2.290449,53.1,2.56,1054.1,
19334880487,48.745825,2.290407,53.1,2.608,1057.3,
19334880487,48.745817,2.290373,53.1,2.574,1060.0,
19334880487,48.745807,2.290335,53.1,2.8,1063.0,
19334880487,48.745797,2.2903,53.1,2.877,1065.8,
19334880487,48.745787,2.290263,53.1,2.92,1068.7,
19334880487,48.745777,2.290222,53.1,2.92,1071.9,
19334880487,48.745774,2.290203,53.1,2.386,1071.9,
19334880487,48.745767,2.290178,53.1,2.46,1075.3,
19334880487,48.745759,2.29015,53.1,2.352,1077.5,
19334880487,48.745748,2.290112,53.1,2.38,1080.6,
19334880487,48.745739,2.290083,53.1,2.207,1082.9,
19334880487,48.74573,2.290052,53.1,2.7,1085.4,
19334880487,48.745716,2.290015,53.1,2.64,1088.5,
19334880487,48.745707,2.289988,53.1,2.191,1088.5,
19334880487,48.745704,2.290004,53.1,1.58,1088.5,
19334880487,48.745712,2.290005,53.1,1.113,1088.5,
19334880487,48.745726,2.289965,53.1,1.38,1092.3,
19334880487,48.745738,2.289933,53.1,1.3,1095.0,
19334880487,48.745743,2.28989,53.1,1.94,1098.2,
19334880487,48.745698,2.289826,53.1,3.3,1105.0,
19334880487,48.745671,2.289788,53.1,4.12,1109.1,
19334880487,48.745639,2.289748,53.1,4.28,1113.7,
19334880487,48.745613,2.289712,53.1,4.52,1117.6,
19334880487,48.745584,2.289675,53.1,4.72,1121.8,
19334880487,48.74556,2.289643,53.2,4.08,1125.4,
19334880487,48.745535,2.289609,53.2,4.0,1129.1,
19334880487,48.745508,2.289576,53.2,3.84,1132.9,
19334880487,48.745477,2.289534,53.2,4.0,1137.6,
19334880487,48.74546,2.289504,53.2,3.739,1140.5,
19334880487,48.745442,2.289468,53.2,3.68,1143.8,
19334880487,48.745426,2.289435,53.2,3.54,1146.8,
19334880487,48.745407,2.289396,53.2,3.48,1150.3,
19334880487,48.745391,2.289363,53.2,3.16,1153.4,
19334880487,48.745375,2.28933,53.2,3.181,1156.4,
19334880487,48.74536,2.289296,53.3,3.12,1159.4,
19334880487,48.745336,2.289258,53.3,3.28,1163.2,
19334880487,48.745316,2.289222,53.3,3.28,1166.7,
19334880487,48.74529,2.289166,53.3,3.68,1171.8,
